F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,Target
29.22,5,3.46,215.34,-1.31,Very low,1.85,-3414.6,-9853.25,-172.06,11.85,-18.44,8,Rest,3682.74,746.82,1230.7
4.14,3,0.44,189.3,-2.73,Low,6.2,-6324.39,-12500.31,-25.78,6.4,-28.78,16,UK,2460.57,705,1364.19
8.46,4,0.7,73.2,-1.65,Low,11.98,-4066.32,-24159.51,-159.54,10.3,-29.96,2,Europe,3654.24,662.1,1070.68
22.8,5,1.78,85.32,-3.3,Medium,1.33,-3901.41,-14629.2,-196.22,11.55,-20.2,4,UK,2476.8,453.06,176.14
14.94,5,1.12,42.15,-0.99,Very high,3.75,-4937.79,-18925.75,-283.96,4.88,-22.92,8,Europe,6056.16,954.75,0
4.8,4,133.08,190.44,5,Very low,8.72,-3995.28,-17492.03,-283.3,8.43,-29.08,8,USA,3195.03,698.91,552.63
2.19,5,48.86,53.25,-5.21,High,5.3,-3635.01,-18997.93,-182.06,4.02,-26.48,8,Rest,4413.39,758.79,0
27.21,3,0.14,223.41,-4.76,High,0.57,-4051.62,-12390.16,-197.84,0.51,-26.28,10,Europe,2960.22,767.22,3603.49
16.62,5,31.32,282,-3.25,Medium,4.16,-2167.11,-18944.66,-307.8,8.29,-43.86,10,UK,3992.82,798.33,2830.23
4.89,4,224.08,174.57,0.64,High,3.07,-3615.39,-16202.04,-171.48,11.32,-31.18,8,USA,3318.03,809.4,390.46
7.5,4,0.1,111.42,-1.96,Very low,1.02,-4274.16,-12310.87,-202.94,7.32,-29.64,6,UK,5876.34,762.87,0
18.27,3,0.36,148.95,-5.27,Medium,2.16,-4178.16,-14201.08,-197.66,11.9,-44.8,6,Rest,3750.6,633.33,652.31
7.77,2,0.04,128.76,-4.32,Very low,2.83,-5232.84,-14505.4,-115.42,10.64,-29.42,8,Europe,4743.45,965.88,0
18.99,6,6.52,10.86,-1.75,Low,4.41,-3411.15,-16248.7,-179.82,6.1,-28.92,10,USA,3574.26,678.81,110.44
9.18,2,0.38,162.51,-3.51,Medium,3.88,-3919.74,-22138.76,-256.9,9.19,-28.7,2,Europe,4952.46,558.69,143.47
9.63,0,0.1,51.6,-5.78,Low,4.9,-2690.13,-17030.23,-185.96,7.21,-31.96,10,UK,3273.48,673.41,2238.1
11.7,4,9.5,73.95,-2.33,High,0.79,-3535.32,-14652.26,-131.16,9.39,-30.78,6,Rest,4414.71,605.82,0
8.49,4,0.56,93.33,-13.5,Low,1.57,-5099.61,-16935.14,-150.56,7.89,-29.98,10,UK,3986.37,285.99,0
10.95,4,4.34,-49.5,1.95,High,5.69,-2675.25,-10755.45,-168.74,8.48,-35.58,12,Rest,5802.54,315.54,164.72
20.07,2,11.6,164.43,-9.39,Very low,1.73,-2136.6,-14537.78,-337.3,4.63,-29.1,10,USA,4553.46,704.7,714.08
4.77,2,1.42,59.22,-5.09,Medium,4.64,-3582.15,-16455.64,-184.56,8,-30.02,10,Europe,5311.74,514.77,86.56
3.81,3,227.6,48.33,-4.07,High,3.78,-3233.1,-16922.23,-149.1,5.12,-29.04,10,Europe,5547.99,764.7,0
10.89,6,4.56,105.21,2.59,Low,5.33,-2854.92,-23319.58,-180.14,8.05,-35.6,4,Rest,5125.11,654.45,0
43.26,3,19.68,43.77,0.13,Very low,3.01,-4491.54,-19092.57,-92.62,8.71,-27.02,8,Europe,4823.13,714.84,704.46
9.51,10,0,84.96,-3.31,Low,2.5,-3166.83,-19076.49,-147.68,9.15,-21.16,14,Rest,4396.8,792.27,0
10.44,4,263.08,166.86,-4.1,Low,0.13,-4579.92,-24986.46,-171.78,6.73,-29.82,6,Europe,4353.9,635.55,0
2.76,7,0.38,117.63,-2.92,Very low,1.66,-3394.05,-29866.75,-211.74,10.75,-48.08,4,UK,3424.86,730.02,0
17.73,3,14658.52,206.49,1.81,Very low,3.8,-3520.62,-13937.5,-234.1,8.8,-21.82,14,USA,6060.87,952.65,412.32
4.23,4,80.88,141.18,-10.01,Medium,2.72,-3651.72,-18591.77,-172.98,1.46,-30.7,10,UK,4416.42,800.37,0
4.23,3,2.84,53.43,-9.68,Very low,1.24,-3631.62,-16319.44,-281,6.05,-29.3,8,UK,4897.26,713.73,0
9.09,4,0.06,322.98,-0.5,High,3.34,-3607.83,-21911.37,-125.26,9.16,-35.92,2,UK,4497.33,634.41,1750.53
9.51,3,0.08,-40.86,5.34,Low,2.57,-3211.98,-16638.36,-82.36,6.39,-22.24,4,Rest,5143.47,687.27,0
3.24,6,0.34,93.42,-1.71,Very high,3.95,-2689.35,-16304.91,-275.18,13.83,-13.72,2,Europe,4857.84,738,0
23.13,5,1.1,6.51,-3.86,Low,0.79,-2806.23,-17218.9,-145.48,5.81,-27.98,10,Rest,3083.34,703.86,415.11
0.81,2,0.14,-13.05,-7.09,Very low,4.41,-4924.65,-16578.15,-268.94,4.81,-43.36,6,USA,4876.74,710.01,0
16.02,6,1.34,150.69,3.26,Very low,0.64,-2685.06,-25865.66,-274.5,7.32,-25.48,6,Europe,4070.64,729.06,4.3
11.55,8,16.32,109.8,-0.71,Medium,4.07,-2551.77,-16000.69,-150.8,4.9,-26.46,14,UK,3696.66,468.36,1203.67
7.65,1,41.42,120.87,-4.94,Medium,2.04,-4438.62,-15753.7,-224.82,7.18,-19.74,2,Rest,3649.17,844.17,0
10.02,1,12.1,324.15,-10.13,High,5.13,-3122.82,-20582.14,-223.82,5.36,-27.74,10,Europe,4178.07,737.76,3779.05
11.73,4,0.28,199.65,-1.79,Very low,1.03,-1651.68,-15788.51,-198.78,4.33,-26.22,8,Rest,5184.42,850.95,675.89
15.36,3,3.3,117.48,-7.52,Very low,4.22,-3857.46,-19211.48,-181.34,5.01,-27.06,12,USA,4242.15,517.92,312.91
21.75,4,0.3,-29.64,-3.68,Very low,3.05,-4381.56,-12577.64,-102.6,8.12,-28,4,Europe,3952.02,838.05,0
2.67,3,0.02,208.83,-1.83,High,2.86,-3219.96,-11897.92,-239.84,1.82,-18.76,8,Rest,4023.72,730.89,1051.99
21,4,0.02,0.66,-2.79,High,1.93,-4274.43,-20148.44,-269.08,3.94,-29.28,4,Europe,4757.43,693.66,0
2.43,5,0.38,259.23,2.43,Medium,11.83,-1976.94,-18733.76,-216.94,5.77,-25.16,10,Rest,4185.15,701.79,2731.66
13.35,2,1.18,223.47,-4.49,Very high,0.82,-2224.35,-19237.18,-211.98,9.11,-36.64,0,USA,5420.13,808.17,475.9
10.35,4,2.04,148.44,-2.38,Medium,0.27,-4304.94,-23374.76,-267.38,3.57,-28.84,8,USA,5031.27,708.84,0
1.65,3,18.28,93.36,-5.61,High,1.87,-2748.3,-15441.21,-243.98,3.93,-27.56,8,Rest,5100.99,785.37,34.33
2.76,0,39.78,85.56,-0.01,High,4.84,-2441.07,-22791.1,-256.04,9.05,-32,12,UK,4372.47,639.36,2357.85
27,1,134.3,112.89,-4.82,Medium,5.29,-3344.88,-13387.62,-175.28,9.9,-37.74,2,Rest,3231.78,673.11,1762.76
10.47,3,0.54,210.12,-0.17,Low,1.85,-3852.39,-21517.93,-185.72,8.7,-40.98,8,USA,6144.51,723.33,7.3
5.64,6,0.5,182.25,-9.56,High,4.97,-2975.4,-19676,-252.38,8.8,-27.42,10,USA,3210.9,811.29,707.73
18.6,5,14.64,170.01,-10.11,Very high,3.13,-2976.27,-6324.85,-193.88,7.39,-5.62,14,Rest,4949.88,700.86,1626.28
29.22,5,0.02,-17.37,-3.88,Very high,1.04,-4385.55,-20385.59,-171.08,4.96,-27.54,6,UK,5319.84,757.59,0
3.72,6,5.42,65.37,-4.7,Very low,1.82,-3600.66,-1399,-199.64,5.35,-27.82,6,Europe,5440.59,718.02,0
1.71,5,0.48,156.42,-5.61,Very low,6.99,-2788.35,-11122.32,-113.98,6,-26.22,10,Rest,3162.87,292.71,1052.74
12.6,3,0.54,29.46,-3.55,Medium,1.32,-4905.33,-16508.24,-134.28,7.79,-39.24,6,Rest,5253.15,631.38,0
3.69,5,3.78,88.05,-6.56,Low,2.47,-1127.73,-16579.97,-190.02,10.36,-24.46,8,Europe,3939.87,622.17,616.53
0.99,2,0.18,101.79,-4.9,Very low,0.47,-1912.5,-14363.4,-197.28,14.58,-36.88,10,UK,4195.65,772.26,0
17.19,6,0,169.23,-1.6,High,1.57,-3576.45,-16750.79,-162.3,5.98,-27.48,6,USA,4516.26,638.1,167.75
18.09,2,0.68,67.83,-0.35,Low,3.92,-3464.97,-16701.6,-355.82,8.54,-13.06,6,Rest,5228.97,948.3,255.84
2.97,2,14,-69.21,-1.48,High,2.04,-3781.38,-17210.11,-136.9,9.07,-34.5,6,Europe,5088.9,713.79,0
23.37,6,29.22,142.56,-1.55,Medium,11.75,-2651.82,-15929.83,-143.12,5.17,-15.2,14,UK,3864.06,789.93,2950.19
35.7,3,3.18,71.79,-8.64,Very low,2.89,-2245.74,-16859.49,-217.58,9.07,-35.04,6,Europe,3398.22,951.93,3232.66
16.47,2,17.56,228.63,-6.29,High,2.84,-2594.55,-14860.51,-246.48,9.77,-23,4,UK,5446.98,737.52,2135.45
8.31,5,16,30.45,-4.68,Medium,13.2,-4072.2,-16816.53,-229.06,5.98,-32.96,6,Rest,6425.22,857.91,99.84
13.23,3,15.72,125.79,-9.81,Low,5.29,-3531,-21224.5,-235.66,7.78,-31.22,6,Europe,3210.24,694.95,1828.64
20.4,4,77.18,123.93,-2.31,Very high,7.17,-3877.95,-16186.87,-145.2,5.2,-18.96,10,UK,4166.91,566.49,2574.41
24.78,3,6.02,248.1,5.93,High,1.41,-3873.48,-17126.62,-228.28,3.81,-42.36,6,UK,3924.84,823.38,2392.69
12.57,9,0,198.96,-1.87,Very low,4.84,-4409.73,-15919.17,-144.72,11.15,-33.92,12,Rest,3856.29,468,145.49
13.29,3,0.86,-18.99,-4.46,Very high,6.85,-2387.88,-18701.19,-184.8,7.05,-29.98,8,USA,5208.3,679.83,460.81
4.86,5,8.34,272.55,-5.94,Medium,4.72,-5224.98,-20358.57,-251.5,2.16,-38.76,6,UK,2615.37,694.44,929.99
2.73,4,11.14,44.82,-3.65,Low,2.11,-3277.14,-15891.93,-276.5,5.34,-20.38,10,Europe,5772.78,711.06,0
3.45,2,2.96,155.25,-2.65,Low,2.43,-2839.23,-29637.9,-159.3,8.78,-34.14,6,Europe,4146.9,760.86,487.88
1.86,8,0,151.86,-6.69,Very low,6.66,-5965.11,-15133.9,-227.8,9.54,-26.12,6,UK,5323.62,582.06,0
8.76,6,7.94,48.84,-1.29,Medium,5.13,-4543.71,-16281.21,-147.74,8.91,-26.08,6,Rest,3634.62,762.42,0
14.58,3,14.58,16.5,-1.85,Very low,5.34,-3190.41,-15492.79,-235.14,6.84,-27.46,6,USA,5695.41,717.33,0
5.46,1,3.1,34.65,-5.55,Low,1.02,-2626.53,-24320.38,-173.04,7.69,-33.86,8,USA,3902.61,758.64,64.44
4.26,2,0,13.92,-3.9,Medium,5.03,-4215.45,-14590.28,-117.12,9.83,-32.98,10,Rest,3897.6,570.87,139.07
17.46,4,47.66,36.15,-1.73,Low,2.01,-3340.62,-9929.37,-188.66,5.92,-28.64,0,Europe,4581.27,724.35,0
7.02,6,1090.66,173.52,-1.55,Medium,1.3,-2501.67,-16941.54,-170.1,13.28,-30,2,Europe,2603.82,684.6,392.95
5.19,5,1.08,-73.26,-5.68,Very high,3.75,-2177.85,-17547.37,-202.56,2.79,-46.7,6,UK,4028.76,734.85,0
9.39,6,2.96,42.96,-4.9,Very high,1.37,-2727.06,-16104.12,-241.02,4.79,-20.68,6,USA,4106.52,760.17,0
13.14,4,4.38,104.34,-3.33,Medium,7.15,-2680.8,-16612.8,-274.32,6.3,-20.86,16,Rest,4304.22,712.02,1886.84
7.98,4,28.48,-19.47,-5,Medium,1.67,-3716.25,-16400.17,-205.28,5.21,-32.38,8,USA,4751.22,672.63,0
20.16,5,0.34,83.13,-6.79,Medium,0.98,-4910.73,-16131.9,-206.94,10.29,-29.14,16,Rest,5128.26,883.89,0
9.78,6,6.44,182.88,-13.11,High,3.43,-4378.02,-17968.18,-144.96,11.2,-34.36,8,Rest,4191.18,778.83,293.55
15.27,3,11.28,20.22,-3.02,Very high,9.85,-4571.13,-14555.39,-246.54,7.68,-30.44,8,USA,4129.38,733.26,580.16
7.83,5,10.72,222.78,-1.97,Very low,1.45,-4744.53,-15163.74,-152.38,12.04,-32.46,6,Europe,4093.11,828.69,0
6.84,2,65.18,34.95,-5.62,Very low,3.17,-4778.22,-15930.44,-283.94,8.04,-33.38,8,Rest,2679,761.46,0
10.35,3,0.18,120.99,-3.82,Low,2.56,-2426.31,-19258.59,-232.12,8.79,-28.86,16,USA,2416.5,605.82,1067.85
3.84,2,37.98,65.31,-2.75,Medium,4.1,-2960.07,-11411.56,-219.96,11.81,-31.84,10,Rest,3525.51,1071.87,816.64
8.7,0,134.32,11.43,-1.29,Very low,5.05,-2640.03,-15330.62,-175.08,5.41,-32.54,4,UK,5309.31,765.24,0
33.78,4,0.66,175.65,-0.04,High,1.91,-2769.78,-15345.36,-189.62,8.09,-25.1,10,Rest,3503.1,370.68,2364.45
6.96,2,0.04,152.13,-6.85,Very low,5.47,-1967.52,-19182.62,-262.52,4.24,-25.72,8,Rest,3291.51,624.33,1644.84
17.64,2,3.1,112.5,-3.86,Very high,1.29,-3271.05,-17810.25,-204.82,11.01,-28.32,4,USA,5365.71,761.43,225.58
7.35,6,238.9,79.8,-1.87,High,1.98,-2902.02,-16699.82,-298.42,5.71,-29.94,4,Rest,5144.28,966.72,0
1.26,4,15.24,127.98,-4.94,Very low,6.26,-4552.29,-23637.67,-156.2,8.93,-51.5,10,UK,4073.58,710.22,0
3.87,2,95.16,92.22,0.91,Very high,2.17,-5030.19,-12132.15,-222.88,6.34,-32.02,4,USA,4262.61,638.31,0
17.97,3,1.92,284.01,0.65,Low,3.71,-2890.74,-16296.91,-111.78,11.62,-30.58,2,Rest,3676.35,682.62,1673.54
31.32,2,9,154.44,-4.62,Very high,2.28,-2029.56,-11724.82,-275.4,8.9,-32.84,2,Europe,4088.94,657.24,3700.86
10.53,3,3.22,138.36,-1.08,Low,6,-3118.38,-18516.96,-227.06,8.94,-27.92,6,Europe,3360.12,542.22,2369.53
18.45,4,11.88,183.78,-1.4,Medium,0.91,-2993.79,-23008.76,-153.42,9.44,-10.94,6,Rest,3981.33,520.32,887.02
18.9,4,7.46,83.46,-2.32,Low,8.97,-3093.21,-11144.13,-185.9,5.17,-27.66,10,UK,4695.84,674.64,2160.76
29.1,7,106.74,1.98,-2.93,Low,5.63,-1927.92,-23063.9,-233.04,5.22,-32.4,4,Rest,3947.1,840.33,683.84
10.35,6,10.32,173.91,-2.87,Very low,8.44,-4644.36,-16138.44,-130.24,9.8,-13.74,0,Rest,3292.44,736.47,80.82
12.18,2,1.24,321.18,-1.71,Very low,1.59,-2655.18,-14239.35,-34.14,10.82,-24.18,4,Rest,4340.49,748.44,1321.95
11.88,4,0.3,281.25,-2.44,Very high,3.68,-2845.68,-18433.22,-234.68,3.62,-29.12,6,Europe,3464.64,693.66,3684.1
0.9,4,8.5,156.48,-1.73,Very low,10.06,-3976.8,-17461.64,-289.42,11.44,-4.52,8,USA,3865.83,707.28,359.73
13.74,6,1.18,129.45,-1.19,High,3.1,-5322.9,-9010.5,-106.38,11.09,-28.32,10,USA,4094.88,684.81,0
23.25,4,2.8,193.89,2.49,Very high,4.48,-2759.1,-16446.6,-169.82,9.98,-28.72,8,USA,4509.48,672.66,1274.75
5.43,3,0.12,59.94,-7.35,High,2.58,-2390.64,-18707.12,-276.2,10.47,-17.74,8,USA,4205.58,723.96,252.58
15.57,5,0.6,57.57,-9.9,High,4.7,-2342.61,-14182.9,-301.82,6.07,-27,8,USA,4362.12,681.33,459.92
12.96,8,13.4,84.63,-0.87,High,4.38,-3629.07,-21302.62,-264.22,9.73,-31.22,12,Europe,4053.51,753.84,310.13
4.74,5,106.14,198.21,-2.54,Very high,1.87,-2879.79,-17833.76,-114.04,6.49,-20.22,6,UK,4867.47,590.16,323.49
14.64,3,0.36,123.57,-2.57,Medium,1.24,-3965.13,-16660.39,-188.12,8.18,-19.38,6,UK,4592.01,617.13,0
3.93,2,19.44,104.64,3.45,Medium,0.6,-2727.57,-18088.08,-123.04,5.3,-25.2,8,UK,4606.41,703.14,0
1.65,4,2.32,-30.39,-10.88,Low,5.77,-2926.35,-15196.69,-110.06,15.38,-27.68,8,Europe,3943.5,622.71,0
6.63,6,1.16,123.84,-7.42,Very low,2.06,-4056.63,-14515.06,-159.94,9.27,-29.84,6,Europe,2631.96,793.02,0
9.99,2,0.2,81.24,-1,Low,3.04,-4130.55,-11870.05,-157.88,9.59,-34.32,8,Rest,5296.35,616.05,0
20.82,4,782.2,215.61,1.66,High,1.4,-2413.92,-14821.41,-270.84,8.95,-28.22,6,Rest,3523.38,721.71,1759
32.25,1,7.3,65.85,-0.62,Medium,2.08,-3948.06,-16988.53,-238.38,8.26,-35.04,12,Europe,3728.61,707.49,3240.08
17.37,3,4.16,121.26,-3.17,High,3.83,-4764.27,-11674.87,-300.54,10.09,-40.54,14,Europe,3644.94,753.42,2532.95
24.48,6,10.5,-25.92,1.03,Very low,2.81,-3681.78,-24657.38,-238.02,9.74,-28.34,10,USA,4150.83,741.54,0
12.81,3,637.96,51.78,-2.58,High,4.82,-2577.96,-17383.83,-189.08,2.01,-25.52,4,Europe,4615.29,715.8,831.68
11.4,4,11.14,-45.75,-4.48,Very high,5.96,-3585.93,-15830.43,-203.22,7.9,-27.92,6,UK,4818.45,633.06,0
7.59,7,2309.78,50.25,-6.28,Medium,0.91,-4011.84,-21522.96,-244.76,10.29,-23.34,2,USA,5115.57,789.15,0
14.28,2,28.04,196.2,-2.84,Medium,2.9,-4790.22,-11897.6,-112.82,6.68,-27.04,4,USA,2407.65,508.59,486.4
15.57,3,4.96,-10.17,-1.94,Medium,1.08,-3045.27,-25039.36,-239.78,6.46,-23.5,10,Europe,3967.47,986.19,100.51
36.69,5,0.66,235.74,-4.14,Very high,5.29,-3179.46,-19718.2,-139.22,1.46,-29.72,10,Rest,2763.57,849.33,3415.18
7.17,1,0.66,69.3,-3.23,High,1.07,-2520.72,-16592.1,-187.3,10.37,-18.32,4,UK,4437.96,803.61,45.42
7.8,3,16.46,126.21,-0.52,Very high,2.35,-2353.26,-17885.48,-223.62,12.67,-24.22,4,Europe,4174.56,695.82,1515.56
7.59,4,666.92,109.2,-1.29,High,2.94,-2563.41,-16103.37,-189.74,10.19,-23.5,8,Europe,3084.87,607.02,2006.96
8.52,4,0,125.46,-10.06,Low,6.73,-3668.25,-14734.25,-135.22,6.96,-32.7,6,UK,3886.59,734.67,711.72
1.8,4,0.54,281.7,-3.9,Very low,8.38,-4108.89,-16078.65,-235.46,6.95,-33.34,4,Europe,5566.53,638.85,418.84
21.03,4,9.9,227.13,-3.92,High,10.82,-1914.03,-14042.91,-211.8,11.45,-26.18,10,Rest,4508.97,704.52,3435.4
23.58,5,1235.18,238.62,-4.17,Medium,3.17,-4659.54,-2678.27,-136.7,4.52,-21.18,4,Europe,3878.28,717.6,1248.21
0.54,7,5.16,128.01,-2.45,Medium,5.19,-1366.23,-15076.72,-210.22,3.12,-43.56,8,Europe,4667.55,864.75,701.35
9.72,2,373.46,35.13,-2.93,Low,7.19,-2735.19,-20608.9,-194.62,5.22,-17.34,8,Europe,2671.83,581.43,2864.08
12.42,4,4.88,124.92,-0.95,High,1.7,-2574.69,-23688.42,-189.42,7.55,-26.08,8,Europe,3498.21,641.97,2039.66
1.86,2,0,113.52,-5.53,Very high,5.98,-2685.87,-11970.98,-126.82,10.33,-26.34,6,Rest,3236.01,714.63,1605.31
8.52,5,0.44,205.56,-1.61,Medium,0.88,-2876.46,-17359.99,-112.52,10.76,-29.34,4,UK,3419.34,767.13,417.16
